iter	Passed	Remaining
772	5624	1651
773	5631	1644
774	5638	1637
775	5647	1630
776	5653	1622
777	5660	1615
778	5667	1607
779	5674	1600
780	5681	1593
781	5688	1585
782	5695	1578
783	5703	1571
784	5710	1563
785	5716	1556
786	5723	1549
787	5730	1541
788	5738	1534
789	5745	1527
790	5751	1519
791	5759	1512
792	5766	1505
793	5773	1497
794	5780	1490
795	5787	1483
796	5794	1475
797	5801	1468
798	5808	1461
799	5815	1453
800	5822	1446
801	5829	1439
802	5836	1431
803	5843	1424
804	5850	1417
805	5857	1409
806	5864	1402
807	5871	1395
808	5878	1387
809	5885	1380
810	5892	1373
811	5899	1365
812	5906	1358
813	5913	1351
814	5920	1343
815	5927	1336
816	5934	1329
817	5940	1321
818	5947	1314
819	5954	1307
820	5961	1299
821	5968	1292
822	5975	1285
823	5982	1277
824	5989	1270
825	5996	1263
826	6003	1255
827	6015	1249
828	6021	1242
829	6030	1235
830	6036	1227
831	6043	1220
832	6050	1213
833	6057	1205
834	6064	1198
835	6072	1191
836	6078	1183
837	6085	1176
838	6092	1169
839	6099	1161
840	6106	1154
841	6113	1147
842	6120	1139
843	6127	1132
844	6134	1125
845	6141	1117
846	6148	1110
847	6156	1103
848	6163	1096
849	6170	1088
850	6177	1081
851	6184	1074
852	6191	1066
853	6198	1059
854	6206	1052
855	6213	1045
856	6220	1037
857	6227	1030
858	6233	1023
859	6241	1015
860	6248	1008
861	6255	1001
862	6262	994
863	6269	986
864	6276	979
865	6283	972
866	6290	964
867	6297	957
868	6304	950
869	6311	943
870	6318	935
871	6325	928
872	6332	921
873	6339	914
874	6346	906
875	6354	899
876	6361	892
877	6367	884
878	6374	877
879	6381	870
880	6388	862
881	6395	855
882	6403	848
883	6410	841
884	6416	833
885	6423	826
886	6430	819
887	6437	811
888	6444	804
889	6451	797
890	6458	790
891	6465	782
892	6472	775
893	6479	768
894	6486	760
895	6493	753
896	6500	746
897	6507	739
898	6514	731
899	6521	724
900	6528	717
901	6535	710
902	6542	702
903	6549	695
904	6556	688
905	6563	680
906	6570	673
907	6577	666
908	6583	659
909	6591	651
910	6598	644
911	6605	637
912	6612	630
913	6619	622
914	6627	615
915	6634	608
916	6641	601
917	6648	593
918	6655	586
919	6662	579
920	6669	572
921	6676	564
922	6682	557
923	6689	550
924	6696	542
925	6704	535
926	6711	528
927	6718	521
928	6725	513
929	6731	506
930	6738	499
931	6745	492
932	6752	484
933	6759	477
934	6766	470
935	6773	463
936	6780	455
937	6787	448
938	6794	441
939	6801	434
940	6809	426
941	6816	419
942	6823	412
943	6830	405
944	6837	397
945	6844	390
946	6851	383
947	6858	376
948	6865	368
949	6872	361
950	6879	354
951	6886	347
952	6893	339
953	6900	332
954	6907	325
955	6914	318
956	6921	310
957	6928	303
958	6935	296
959	6942	289
960	6949	282
961	6956	274
962	6963	267
963	6970	260
964	6977	253
965	6985	245
966	6992	238
967	6999	231
968	7006	224
969	7013	216
970	7020	209
971	7027	202
972	7035	195
973	7041	187
